VOCAB count: 680
1 приве́т | 你好(非正式)
2 здра́вствуйте | 您好(正式)
3 до́брое у́тро | 早上好
4 до́брый день | 日安 / 下午好
5 до́брый ве́чер | 晚上好
6 споко́йной но́чи | 晚安
7 до свида́ния | 再见
8 спаси́бо | 谢谢
9 пожа́луйста | 请 / 不客气
10 извини́те | 对不起 / 打扰一下
11 да | 是
12 нет | 不 / 不是
13 я | 我
14 ты | 你
15 он | 他
16 она́ | 她
17 мы | 我们
18 вы | 你们 / 您
19 они́ | 他们 / 她们
20 кто | 谁
21 что | 什么
22 где | 在哪里
23 оди́н | 一
24 два | 二
25 три | 三
26 четы́ре | 四
27 пять | 五
28 шесть | 六
29 семь | 七
30 во́семь | 八
31 де́вять | 九
32 де́сять | 十
33 ма́ма | 妈妈
34 па́па | 爸爸
35 семья́ | 家庭
36 брат | 兄弟
37 сестра́ | 姐妹
38 друг | 朋友(男性)
39 подру́га | 朋友(女性)
40 челове́к | 人
41 быть | 是 / 在
42 есть | 吃 / 有
43 хоте́ть | 想要
44 люби́ть | 爱 / 喜欢
45 говори́ть | 说 / 讲话
46 чита́ть | 读
47 писа́ть | 写
48 де́лать | 做
49 знать | 知道
50 жить | 生活 / 居住
51 рабо́тать | 工作
52 учи́ть | 学习 / 教
53 во́да | 水
54 хлеб | 面包
55 дом | 房子 / 家
56 го́род | 城市
57 кни́га | 书
58 шко́ла | 学校
59 рабо́та | 工作
60 вре́мя | 时间
61 день | 白天 / 一天
62 ночь | 夜晚
63 у́тро | 早晨
64 ве́чер | 傍晚
65 сло́во | 单词
66 язы́к | 语言
67 сто́л | 桌子
68 окно́ | 窗户
69 хоро́ший | 好的
70 плохо́й | 坏的
71 большо́й | 大的
72 ма́ленький | 小的
73 но́вый | 新的
74 ста́рый | 旧的 / 年老的
75 краси́вый | 漂亮的
76 ру́сский | 俄语的 / 俄罗斯的
77 Э́то… | 这是…
78 У меня́ есть… | 我有…
79 Я хочу́… | 我想要…
80 Как дела́? | 你好吗?
81 Меня́ зову́т… | 我叫…
82 О́чень прия́тно | 很高兴认识你
83 кра́сный | 红色的
84 си́ний | 蓝色的
85 жёлтый | 黄色的
86 зелёный | 绿色的
87 бе́лый | 白色的
88 чёрный | 黑色的
89 се́рый | 灰色的
90 кори́чневый | 棕色的
91 ора́нжевый | 橙色的
92 ро́зовый | 粉色的
93 фиоле́товый | 紫色的
94 голубо́й | 天蓝色的
95 мя́со | 肉
96 ры́ба | 鱼
97 ку́рица | 鸡肉
98 яйцо́ | 鸡蛋
99 суп | 汤
100 ка́ша | 粥
101 рис | 米饭
102 сыр | 奶酪
103 молоко́ | 牛奶
104 чай | 茶
105 ко́фе | 咖啡
106 сок | 果汁
107 са́хар | 糖
108 соль | 盐
109 я́блоко | 苹果
110 бана́н | 香蕉
111 помидо́р | 番茄
112 карто́фель | 土豆
113 соба́ка | 狗
114 ко́шка | 猫
115 ло́шадь | 马
116 коро́ва | 牛
117 свинья́ | 猪
118 медве́дь | 熊
119 волк | 狼
120 пти́ца | 鸟
121 мышь | 老鼠
122 лев | 狮子
123 голова́ | 头
124 глаз | 眼睛
125 нос | 鼻子
126 рот | 嘴
127 у́хо | 耳朵
128 рука́ | 手 / 手臂
129 нога́ | 腿 / 脚
130 живо́т | 肚子
131 се́рдце | 心脏
132 зуб | 牙齿
133 руба́шка | 衬衫
134 штаны́ | 裤子
135 пла́тье | 连衣裙
136 ку́ртка | 夹克
137 ша́пка | 帽子
138 ту́фли | 鞋
139 носки́ | 袜子
140 пальто́ | 大衣
141 понеде́льник | 星期一
142 вто́рник | 星期二
143 среда́ | 星期三
144 четве́рг | 星期四
145 пя́тница | 星期五
146 суббо́та | 星期六
147 воскресе́нье | 星期日
148 янва́рь | 一月
149 февра́ль | 二月
150 март | 三月
151 апре́ль | 四月
152 май | 五月
153 ию́нь | 六月
154 ию́ль | 七月
155 а́вгуст | 八月
156 сентя́брь | 九月
157 октя́брь | 十月
158 ноя́брь | 十一月
159 дека́брь | 十二月
160 пого́да | 天气
161 со́лнце | 太阳
162 дождь | 雨
163 снег | 雪
164 ве́тер | 风
165 весна́ | 春天
166 ле́то | 夏天
167 о́сень | 秋天
168 зима́ | 冬天
169 маши́на | 汽车
170 авто́бус | 公共汽车
171 по́езд | 火车
172 самолёт | 飞机
173 велосипе́д | 自行车
174 у́лица | 街道
175 доро́га | 道路
176 биле́т | 票
177 врач | 医生
178 учи́тель | 教师
179 инжене́р | 工程师
180 продаве́ц | 售货员
181 води́тель | 司机
182 по́вар | 厨师
183 студе́нт | 学生
184 актёр | 演员
185 мо́ре | 海
186 река́ | 河流
187 лес | 森林
188 гора́ | 山
189 де́рево | 树
190 цвето́к | 花
191 му́зыка | 音乐
192 кино́ | 电影
193 телефо́н | 电话
194 компью́тер | 电脑
195 о́чень | 很 / 非常
196 хорошо́ | 好地
197 пло́хо | 坏地
198 бы́стро | 快
199 ме́дленно | 慢
200 мно́го | 多
201 ма́ло | 少
202 всегда́ | 总是
203 объясня́ть | 解释
204 вспомина́ть | 回忆
205 мечта́ть | 梦想
206 стара́ться | 努力
207 обеща́ть | 承诺
208 жа́ловаться | 抱怨
209 зави́сеть | 取决于 / 依赖
210 сра́внивать | 比较
211 каза́ться | 似乎 / 看起来
212 наблюда́ть | 观察
213 дока́зывать | 证明
214 преодолева́ть | 克服
215 избега́ть | 避免
216 привлека́ть | 吸引
217 выступа́ть | 发言 / 表演
218 существова́ть | 存在
219 оши́бка | 错误
220 привы́чка | 习惯
221 значе́ние | 意义
222 удово́льствие | 愉快 / 满足
223 собы́тие | 事件
224 влия́ние | 影响
225 отноше́ние | 态度 / 关系
226 пра́вило | 规则
227 разрабо́тка | 研发 / 制定
228 иссле́дование | 研究
229 достиже́ние | 成就
230 сомне́ние | 怀疑
231 грани́ца | 边界
232 ито́г | 结果 / 结局
233 ко́нкурс | 比赛 / 竞赛
234 аргуме́нт | 论据 / 理由
235 вы́года | 好处 / 利益
236 населе́ние | 人口
237 серьёзный | 严肃的 / 认真的
238 удо́бный | 方便的 / 舒适的
239 дово́льный | 满意的
240 успе́шный | 成功的
241 ве́жливый | 有礼貌的
242 неожи́данный | 意外的
243 жа́дный | 贪婪的
244 достопримеча́тельность | 名胜古迹
245 благополу́чие | 安康 / 幸福
246 осведомлённость | 知晓程度
247 самооблада́ние | 自制力
248 обя́занность | 义务 / 职责
249 пренебрега́ть | 轻视 / 忽视
250 осуществи́ть | 实现
251 излага́ть | 阐述
252 неизбе́жный | 不可避免的
253 добросо́вестный | 勤恳的 / 认真的
254 целесообра́зный | 合理的 / 适宜的
255 утончённый | 精致的 / 文雅的
256 всесторо́нний | 全面的
257 безупре́чный | 无可挑剔的
258 необосно́ванный | 无根据的
259 благогове́ние | 崇敬 / 敬畏
260 непостижи́мый | 不可理解的
261 всеобъе́млющий | 包罗万象的
262 предвосхища́ть | 预见 / 预料
263 изощрённый | 老练的 / 精妙的
264 непрело́жный | 不可违背的
265 умозри́тельный | 思辨的 / 抽象的
266 своенра́вный | 任性的
267 возде́рживаться | 克制 / 节制
268 безапелляцио́нный | 不容置疑的
269 жемчу́жина | 珍珠 / 精华
270 на́жить | 赚得 / 招致
271 претворя́ть | 付诸实施
